,bm,bm2,konv,konv2,N
0,0.000973000000001889,9.500000000173259e-05,0.0002460000000041873,0.0002459999999970819,10.0
1,8.19999999990273e-05,0.00010199999999827014,0.001989000000001795,0.002006999999998982,100.0
2,0.0002769999999969741,0.0002570000000048367,0.019750999999999408,0.019742000000000814,1000.0
3,0.0019959999999983324,0.0018320000000002779,0.19492799999999733,0.19673900000000089,10000.0
4,0.005080999999997005,0.003570000000003404,0.38943100000000186,0.3992290000000054,20000.0
5,0.010193000000001007,0.008918000000001314,0.9720919999999964,0.9877829999999932,50000.0
6,0.020241999999996096,0.017727000000000714,1.956626,1.9450609999999955,100000.0
7,0.04082299999999606,0.038649000000006595,3.9062819999999974,4.023774000000003,200000.0
8,0.11252800000001173,0.10434399999999755,9.612872999999993,9.906362000000001,500000.0
9,0.22882199999999386,0.21566800000000796,19.377837999999997,19.424679999999995,1000000.0
10,0.4748739999999998,0.4296290000000056,38.411654999999996,37.832100000000025,2000000.0
11,1.1379820000000223,1.0312389999999994,95.13376400000001,95.83599800000002,5000000.0
12,2.400561000000039,2.254997000000003,185.49280400000004,189.03986299999997,10000000.0
13,4.880566000000044,4.352096000000074,405.42087600000013,423.325523,20000000.0
14,12.756783000000041,11.42032499999982,1031.901751,1142.600535,50000000.0
