,N,m_hat
1.0,1,0.0
2.154434690031884,2,0.0
4.641588833612778,4,4.0
10.0,10,3.2
21.544346900318832,21,4.19047619047619
46.41588833612777,46,5.043478260869565
100.0,100,4.4
215.44346900318823,215,4.502325581395349
464.15888336127773,464,4.672413793103448
1000.0,1000,4.6080000000000005
2154.4346900318824,2154,4.6016713091922
4641.588833612777,4641,4.678302090066796
10000.0,10000,4.6856
21544.346900318822,21544,4.68585220943186
46415.888336127726,46415,4.706064849725305
100000.0,100000,4.688960000000001
215443.46900318822,215443,4.6813310249114615
464158.8833612772,464158,4.681492078128568
1000000.0,1000000,4.697744
2154434.6900318824,2154434,4.688462955931813
4641588.833612773,4641588,4.688471273193571
10000000.0,10000000,4.686732
21544346.900318824,21544346,4.68656491127649
46415888.33612773,46415888,4.6860897285860394
100000000.0,100000000,4.68562104
1.0,1,0.0
4.641588833612778,4,2.0
21.544346900318832,21,4.571428571428571
100.0,100,4.72
1.0,1,8.0
4.641588833612778,4,0.0
21.544346900318832,21,3.8095238095238093
100.0,100,4.64
1.0,1,0.0
1.0,1,8.0
