,0.001,1.0,1000.0
0.0,422.519071,572.887,-84927.776
5.2631578947368425,197.67394099999999,330.413,-69854.614
10.526315789473685,330.50612899999993,315.06,-67236.21
15.789473684210527,500.071325,393.38,-68978.962
21.05263157894737,206.09018799999998,300.736,-90363.012
26.315789473684212,420.553391,387.758,-43378.944
31.578947368421055,251.493603,365.517,-63731.558
36.8421052631579,431.575237,361.73,-51319.344
42.10526315789474,466.99719,276.127,-62207.672
47.36842105263158,337.891882,447.924,-65661.478
52.631578947368425,430.643002,406.605,-50208.686
57.89473684210527,348.188131,235.985,-75722.696
63.15789473684211,169.035872,441.98,-54137.322
68.42105263157896,340.56964500000004,241.612,-61897.934
73.6842105263158,553.25536,169.197,-49447.99
78.94736842105263,524.376086,161.179,-53019.366
84.21052631578948,568.4129569999999,415.652,-73234.882
89.47368421052633,175.248514,709.276,-81165.116
94.73684210526316,568.0120430000001,286.397,-79717.376
100.0,418.37943099999995,598.527,-50566.108
